ax: 0.174835 | ay: 0.822815 | az: 0.142288
ax: -0.0874176 | ay: 0.240173 | az: -0.123306
ax: 0.133499 | ay: 0.00721741 | az: 0.00550842
ax: 0.444351 | ay: 0.348175 | az: 0.20517
ax: 0.553436 | ay: 0.77803 | az: 0.279968
ax: 0.64978 | ay: 0.791458 | az: 0.252274
ax: 0.632721 | ay: 0.736374 | az: 0.242188
ax: 0.590378 | ay: 0.579041 | az: 0.225082
ax: 0.546677 | ay: 0.391479 | az: 0.161224
ax: 0.511353 | ay: 0.264465 | az: 0.128357
ax: 0.419479 | ay: 0.264633 | az: 0.0896301
ax: 0.302307 | ay: 0.273224 | az: 0.0773163
ax: 0.0408478 | ay: 0.0978241 | az: -0.0263672
ax: -0.269913 | ay: -0.294128 | az: -0.10672
ax: -0.651138 | ay: -0.469772 | az: -0.289368
ax: -1.04303 | ay: -0.663025 | az: -0.492523
ax: -1.07947 | ay: -1.58279 | az: -0.654984
ax: -1.11441 | ay: -1.7332 | az: -0.799454
ax: -0.792664 | ay: -1.80461 | az: -1.22205
ax: -0.454666 | ay: -2.52284 | az: -1.08937
ax: -0.21312 | ay: -1.57162 | az: -1.02182
ax: -0.0514984 | ay: -0.362823 | az: -0.256989
ax: -0.395905 | ay: 0.748428 | az: 1.2608
ax: -0.444687 | ay: -0.635406 | az: -0.0222626
ax: -0.621628 | ay: -0.165115 | az: 0.0122681
ax: -0.124527 | ay: -0.37207 | az: -0.488159
ax: -0.136154 | ay: -0.410828 | az: -0.493515
ax: -0.0837402 | ay: -0.425842 | az: -0.0788269
ax: 0.00764465 | ay: -0.120148 | az: -0.177048
ax: -0.0506134 | ay: -0.00166321 | az: -0.0494537
ax: 0.0142975 | ay: 0.00938416 | az: -0.00662231
time: 5
[20210722075742.958]
> sum ax: -9.90457 | sum ay: -0.682388 | sum az: -3.26691
>> avg ax: -0.198091 | avg ay: -0.0136478 | avg az: -0.0653381
>>> vx: -0.970648 | vy: -0.0668737 | vz: -0.320157
>>> sx: -0.466541 | sy: 0.399129 | sz: 0.0166533
>>> a: 0.209035
>>> v: 1.02427
>>> s: 0.6142

ax: -0.0699615 | ay: -0.0567017 | az: 0.00816345
ax: -0.0373383 | ay: -0.0613251 | az: 0.0292206
ax: 0.0365295 | ay: 0.0581055 | az: -0.120834
ax: 0.0423889 | ay: 0.0468445 | az: -0.111923
ax: 0.025528 | ay: -0.00137329 | az: -0.0200653
ax: 0.000640869 | ay: -0.0949554 | az: 0.0374603
ax: -0.0210266 | ay: -0.0807953 | az: 0.055603
ax: 0.0132294 | ay: -0.00370789 | az: -0.0120239
ax: 0.062973 | ay: 0.0770874 | az: -0.0383453
ax: 0.04216 | ay: 0.0954437 | az: -0.0315857
