steps: 796
ax: 0.793182 | ay: 0.735779 | az: -0.0141449
ax: 0.670441 | ay: 0.468536 | az: -0.019928
ax: 0.53215 | ay: 0.281525 | az: -0.0345764
ax: 0.448837 | ay: 0.21373 | az: -0.0180817
ax: 0.292572 | ay: 0.112671 | az: -0.0142517
ax: 0.0633392 | ay: 0.124451 | az: 0.033783
ax: -0.427429 | ay: -0.279312 | az: -0.011734
ax: -0.810638 | ay: -0.58815 | az: 0.179901
ax: -1.12535 | ay: -0.938309 | az: 0.149521
ax: -1.18613 | ay: -1.82263 | az: 0.0843658
ax: -1.2345 | ay: -2.5379 | az: -0.0163422
ax: -1.09178 | ay: -2.60973 | az: -0.156097
ax: -0.968353 | ay: -2.60846 | az: 0.546219
ax: -0.746109 | ay: -2.0694 | az: 0.553757
ax: -0.127014 | ay: -0.546036 | az: -0.1008
ax: -0.452469 | ay: 1.50972 | az: 0.921509
ax: -1.17422 | ay: -1.4136 | az: 0.632629
ax: -0.700821 | ay: -0.899155 | az: -0.266235
ax: -0.245148 | ay: -0.586594 | az: -0.142181
ax: -0.0741425 | ay: -0.727829 | az: -0.141968
ax: 0.0626678 | ay: -0.407562 | az: 0.0806427
ax: -0.128189 | ay: -0.189514 | az: 0.0912018
ax: 0.0317535 | ay: 0.0788422 | az: 0.196625
ax: -0.0600739 | ay: -0.00791931 | az: -0.02034
ax: -0.0403595 | ay: -0.121094 | az: 0.0269775
ax: -0.0363464 | ay: -0.165253 | az: -0.0157013
ax: -0.0111847 | ay: -0.204224 | az: -0.0695801
ax: -0.0540161 | ay: -0.0470123 | az: 0.0775909
ax: -0.052002 | ay: 0.0192261 | az: 0.217484
ax: -0.0585632 | ay: -0.0344238 | az: 0.0963135
ax: -0.0397339 | ay: 0.0168762 | az: -0.000671387
ax: -0.0393066 | ay: 0.00457764 | az: 0.0158234
ax: -0.088089 | ay: -0.0558167 | az: 0.090271
ax: -0.142868 | ay: -0.144867 | az: 0.104431
ax: -0.152847 | ay: -0.00888062 | az: 0.0435028
ax: -0.134369 | ay: 0.0322571 | az: 0.00112915
ax: -0.287231 | ay: 0.0907593 | az: 0.0426025
ax: -0.399719 | ay: 0.141617 | az: -0.0356293
time: 6
[20210805060557.486]
> sum ax: -12.3516 | sum ay: -5.81879 | sum az: -0.488281
>> avg ax: -0.247033 | avg ay: -0.116376 | avg az: -0.00976562
>>> vx: -1.21046 | vy: -0.570241 | vz: -0.0478515
>>> sx: -0.685068 | sy: 0.10154 | sz: -0.192128
>>> a: 0.273247
>>> v: 1.33891
>>> s: 0.718709

steps: 802
ax: -0.510818 | ay: 0.204437 | az: 0.149353
ax: -0.578629 | ay: 0.360748 | az: 0.199509
ax: -0.76976 | ay: 0.414368 | az: -0.0743713
ax: -1.0695 | ay: 0.640121 | az: -0.397263
ax: -1.08762 | ay: 1.60693 | az: -0.807999
ax: -1.10817 | ay: 1.41725 | az: 0.24411
ax: -1.13278 | ay: 1.37651 | az: -0.415558
ax: -0.899857 | ay: 1.23398 | az: -0.643799
ax: 0.679214 | ay: 0.735458 | az: -0.516434
ax: -0.122375 | ay: -0.228455 | az: 0.00901794
ax: -0.107224 | ay: 0.173187 | az: 0.2724
ax: 0.953979 | ay: 0.809952 | az: -0.033783
ax: 0.760788 | ay: 1.07266 | az: -0.0842896
ax: 0.756119 | ay: 0.930557 | az: -0.00788879
ax: 0.75296 | ay: 0.679581 | az: -0.019928
ax: 0.656845 | ay: 0.315033 | az: -0.0220032
ax: 0.574844 | ay: 0.19783 | az: 0.027298
ax: 0.503159 | ay: 0.204178 | az: 0.0662231
ax: 0.373734 | ay: 0.15155 | az: 0.0891418
ax: 0.156998 | ay: 0.143478 | az: 0.145615
ax: -0.356262 | ay: -0.29155 | az: 0.0843048
ax: -0.716827 | ay: -0.565842 | az: 0.200821
ax: -1.12109 | ay: -1.04404 | az: 0.140305
ax: -1.17926 | ay: -1.88506 | az: 0.141296
ax: -1.22571 | ay: -2.52615 | az: 0.00038147
ax: -1.15588 | ay: -2.58308 | az: -0.0705872
ax: -0.990723 | ay: -2.57777 | az: 0.66774
ax: -0.800751 | ay: -2.23416 | az: 0.294037
ax: -0.246674 | ay: 1.51839 | az: -0.167267
ax: -0.329895 | ay: 0.808182 | az: 1.08008
ax: -1.15791 | ay: -1.59776 | az: 0.0634766
ax: -0.242798 | ay: -0.130478 | az: 0.311203
ax: -0.305298 | ay: -1.11809 | az: -0.456024
ax: -0.136948 | ay: -0.732422 | az: 0.0891418
ax: -0.174179 | ay: -0.535904 | az: -0.0449677
ax: 0.00839233 | ay: -0.103134 | az: 0.00804138
ax: -0.0322571 | ay: -0.0989227 | az: 0.220016
ax: -0.096344 | ay: 0.0623627 | az: 0.0627899
ax: -0.0173798 | ay: -0.0361786 | az: -0.0100555
ax: 0.0703125 | ay: -0.0858154 | az: -0.140274
ax: 0.0449219 | ay: -0.055069 | az: -0.0776367
ax: 0.0314331 | ay: 0.0995789 | az: 0.00376892
ax: -0.0240936 | ay: 0.0664825 | az: 0.0798035
ax: -0.0528564 | ay: -0.0535126 | az: 0.00431824
