ax: 0 | ay: 0 | az: -1
> sum ax: 13.9354 | sum ay: 8.06932 | sum az: -3.76926
>> avg ax: 0.278708 | avg ay: 0.161386 | avg az: -0.0753851
>>> vx: 2.73133 | vy: 1.58159 | vz: -0.738774
>>> sx: 1.2868 | sy: -0.368084 | sz: -0.398553
>>> a: 0.330766
>>> v: 3.24151
>>> s: 1.39649

ax: -0.0283661 | ay: 0.190155 | az: -0.14534
ax: -0.00569153 | ay: 0.147064 | az: -0.00830078
ax: 0.0358429 | ay: 0.0326691 | az: 0.112595
ax: 0.0344086 | ay: 0.172012 | az: 0.166046
ax: 0.177551 | ay: -0.123093 | az: -0.153366
ax: 0.0400085 | ay: -0.0606995 | az: -0.142258
ax: 0.193817 | ay: 0.15712 | az: -0.0263519
ax: 0.175354 | ay: 0.108505 | az: 0.0196075
ax: 0.18222 | ay: -0.0256042 | az: 0.119476
ax: 0.252151 | ay: -0.169449 | az: 0.0695496
ax: 0.475571 | ay: -0.225052 | az: 0.0176239
ax: 0.522034 | ay: -0.22258 | az: 0.1129
ax: 0.622299 | ay: -0.387634 | az: 0.0893402
ax: 0.757614 | ay: -0.522263 | az: -0.145844
ax: 1.03831 | ay: -0.706146 | az: -0.329269
ax: 1.05028 | ay: -1.93959 | az: -0.353256
ax: 1.06516 | ay: -1.67409 | az: -0.0153351
ax: 1.08914 | ay: -1.28682 | az: -1.0455
ax: 0.613022 | ay: -1.34195 | az: -0.870743
ax: 0.363861 | ay: -0.479721 | az: -0.149765
ax: -0.398483 | ay: 0.589767 | az: 0.0712433
ax: -0.347366 | ay: -0.577484 | az: 0.112778
ax: -0.689682 | ay: -0.797134 | az: 0.00375366
ax: -0.705887 | ay: -0.984406 | az: 0.0393982
ax: -0.804626 | ay: -0.824402 | az: 0.00543213
ax: -0.615265 | ay: -0.435181 | az: -0.0128937
ax: -0.56041 | ay: -0.213654 | az: -0.00982666
ax: -0.486786 | ay: -0.0500641 | az: 0.0263977
ax: -0.375427 | ay: 0.030777 | az: 0.0573578
ax: -0.201996 | ay: 0.114456 | az: 0.0966034
ax: 0.154526 | ay: 0.16716 | az: 0.0463409
ax: 0.71991 | ay: 0.529327 | az: 0.110321
ax: 1.13828 | ay: 0.982941 | az: -0.0677643
ax: 1.21089 | ay: 1.61858 | az: -0.0392456
ax: 1.27769 | ay: 2.2637 | az: -0.0839996
ax: 0.879593 | ay: 2.72285 | az: -0.86499
ax: 0.626282 | ay: 2.7392 | az: -0.0652466
ax: 0.61174 | ay: 2.71074 | az: 0.101425
ax: 1.26122 | ay: 2.29616 | az: -0.405182
ax: -0.840958 | ay: -1.40198 | az: -1.24791
ax: 0.865509 | ay: 0.143494 | az: 0.872879
ax: 1.15938 | ay: 1.90407 | az: 0.44754
ax: 0.65712 | ay: 1.50237 | az: -0.523804
ax: 0.638657 | ay: 1.19107 | az: 0.232498
ax: 0.0180359 | ay: 0.571747 | az: -0.111023
ax: 0.116913 | ay: 0.465912 | az: -0.189484
ax: 0.0623779 | ay: 0.117554 | az: -0.113983
ax: 0.0879974 | ay: 0.128448 | az: 0.0598907
ax: 0.0513153 | ay: 0.088501 | az: -0.0608826
ax: 0.00744629 | ay: 0.075592 | az: -0.0598907
time: 5
[20201117134427.275]
