ax: -0.449844 | ay: 0.638306 | az: -0.119125
ax: -0.0837555 | ay: 0.423615 | az: -0.261948
ax: 0.0102692 | ay: 0.184219 | az: -0.084198
ax: 0.0822144 | ay: 0.330109 | az: 0.153412
ax: 0.238297 | ay: 0.411499 | az: -0.0222015
ax: 0.390793 | ay: 0.769577 | az: 0.243195
ax: 0.443924 | ay: 0.7686 | az: 0.255554
ax: 0.498642 | ay: 0.686752 | az: 0.200638
ax: 0.524841 | ay: 0.565094 | az: 0.157669
ax: 0.4832 | ay: 0.404724 | az: 0.144318
ax: 0.447876 | ay: 0.370346 | az: 0.142136
ax: 0.371124 | ay: 0.449066 | az: 0.128586
ax: 0.19519 | ay: 0.483414 | az: 0.0934906
ax: -0.0593414 | ay: 0.374374 | az: 0.0485992
ax: -0.352875 | ay: 0.166946 | az: 0.0720673
ax: -0.677887 | ay: -0.0911713 | az: -0.0249176
ax: -0.878754 | ay: -0.280334 | az: -0.176239
ax: -1.03687 | ay: -0.708771 | az: -0.360306
ax: -1.06081 | ay: -0.925995 | az: -0.425583
ax: -1.02641 | ay: -1.14688 | az: -0.483551
ax: -0.828293 | ay: -1.282 | az: -0.524231
ax: -0.526016 | ay: -1.75336 | az: -0.565048
ax: -0.184082 | ay: -1.91006 | az: -0.534637
ax: -0.14418 | ay: -1.22586 | az: -0.338409
ax: -0.189774 | ay: -0.904236 | az: -0.269547
ax: -0.24971 | ay: -0.646378 | az: -0.324432
ax: -0.141068 | ay: -0.191925 | az: -0.234985
ax: 0.00131226 | ay: 1.40138 | az: -0.0405121
ax: -0.331512 | ay: -0.530975 | az: 0.445709
ax: -0.510162 | ay: -0.415054 | az: 0.147873
ax: -0.293411 | ay: -0.265121 | az: -0.0960999
ax: -0.15593 | ay: -0.164597 | az: -0.411026
ax: 0.0617676 | ay: -0.0909729 | az: -0.166565
ax: -0.0502777 | ay: -0.289871 | az: 0.0442047
ax: -0.0804749 | ay: -0.141739 | az: -0.053833
time: 6
[20201124141632.033]
> sum ax: -11.007 | sum ay: 0.458923 | sum az: -2.56267
>> avg ax: -0.220141 | avg ay: 0.00917847 | avg az: -0.0512534
>>> vx: -2.15738 | vy: 0.0899492 | vz: -0.502283
>>> sx: -1.04231 | sy: 0.956549 | sz: -0.0136127
>>> a: 0.226215
>>> v: 2.21691
>>> s: 1.41477

ax: -0.0763397 | ay: -0.0384369 | az: -0.0865784
ax: -0.0809631 | ay: 0.0264435 | az: 0.0428009
ax: -0.0210114 | ay: 0.0859985 | az: 0.034256
ax: 0.00128174 | ay: 0.11557 | az: -0.048111
ax: -0.0162506 | ay: 0.0982819 | az: -0.0493622
ax: -0.00112915 | ay: 0.0462799 | az: 0.00614929
ax: -0.000106812 | ay: 0.0460205 | az: 0.0427704
ax: -0.0037384 | ay: -0.0349121 | az: 0.0185547
ax: 0.0102539 | ay: 0.00759888 | az: -0.0127869
ax: 0.00532532 | ay: 0.0730743 | az: -0.00863647
ax: 0.00352478 | ay: 0.0725861 | az: -0.00663757
ax: -0.00975037 | ay: 0.0774994 | az: 0.0343781
ax: -0.0233612 | ay: 0.0568237 | az: 0.0208282
ax: -0.0324402 | ay: -0.00346375 | az: 0.0192413
ax: -0.0392151 | ay: -0.00914001 | az: 0.0351868
ax: -0.0588379 | ay: 0.0174561 | az: 0.0564117
ax: -0.0788422 | ay: 0.0145721 | az: 0.0178833
ax: -0.0454102 | ay: 0.0392151 | az: 0.041214
ax: -0.0810852 | ay: 0.0356293 | az: 0.0253296
ax: -0.0771179 | ay: 0.0599213 | az: 0.0275726
ax: -0.0880127 | ay: 0.110413 | az: 0.0428162
ax: -0.102493 | ay: 0.105972 | az: 0.0145111
ax: -0.143036 | ay: 0.10318 | az: 0.0483551
ax: -0.168823 | ay: 0.104294 | az: 0.0779724
ax: -0.219238 | ay: 0.137085 | az: 0.068573
ax: -0.260574 | ay: 0.128784 | az: 0.0430908
ax: -0.452209 | ay: 0.217178 | az: -0.0376892
ax: -0.663361 | ay: 0.128693 | az: 0.0469666
ax: -1.1013 | ay: 0.302994 | az: 0.148163
ax: -1.07745 | ay: 1.40186 | az: 0.183685
ax: -0.503311 | ay: 1.21843 | az: 0.334686
ax: -0.624741 | ay: 0.452591 | az: 0.0721741
ax: -0.619476 | ay: 0.617462 | az: -0.0648956
ax: -0.183609 | ay: 0.575912 | az: -0.362396
ax: 0.00318909 | ay: 0.259659 | az: -0.178955
ax: 0.082428 | ay: 0.168335 | az: 0.0740814
ax: 0.188232 | ay: 0.55481 | az: 0.0348663
ax: 0.411118 | ay: 0.759293 | az: 0.221222
ax: 0.543259 | ay: 0.761414 | az: 0.220505
ax: 0.548492 | ay: 0.663956 | az: 0.177216
ax: 0.546478 | ay: 0.504868 | az: 0.105164
ax: 0.486206 | ay: 0.44046 | az: 0.115387
ax: 0.436615 | ay: 0.414719 | az: 0.112854
ax: 0.338226 | ay: 0.452225 | az: 0.0429382
ax: 0.179321 | ay: 0.461517 | az: 0.0568542
ax: -0.00617981 | ay: 0.270111 | az: 0.00634766
ax: -0.188736 | ay: 0.100052 | az: -0.0673981
ax: -0.446548 | ay: 0.000930786 | az: -0.119965
ax: -0.745514 | ay: -0.149948 | az: -0.19017
ax: -1.03505 | ay: -0.623932 | az: -0.37326
time: 7
[20201124141633.036]
> sum ax: -5.49132 | sum ay: 11.4303 | sum az: 1.06416
>> avg ax: -0.109826 | avg ay: 0.228607 | avg az: 0.0212833
>>> vx: -1.0763 | vy: 2.24034 | vz: 0.208576
>>> sx: -0.492466 | sy: 0.820376 | sz: 0.121298
>>> a: 0.254511
>>> v: 2.49421
>>> s: 0.964496

ax: -1.06163 | ay: -1.07056 | az: -0.388351
ax: -1.09367 | ay: -1.2525 | az: -0.506012
ax: -0.892181 | ay: -1.492 | az: -0.647446
ax: -0.628372 | ay: -2.15744 | az: -0.410477
ax: -0.211029 | ay: -2.07762 | az: -0.428162
ax: -0.241562 | ay: -1.06873 | az: -0.390503
ax: -0.0092926 | ay: -0.960526 | az: -0.157898
ax: -0.04039 | ay: -0.125092 | az: -0.216812
ax: -0.0112762 | ay: 0.894974 | az: -0.233551
ax: -0.447815 | ay: -0.106155 | az: 0.779221
ax: -0.503159 | ay: -0.063797 | az: 0.0392456
ax: -0.290771 | ay: -0.471863 | az: 0.22226
ax: -0.163879 | ay: -0.230347 | az: -0.370239
ax: -0.0196075 | ay: -0.0691223 | az: -0.244614
ax: 0.0369263 | ay: -0.112854 | az: -0.0875854
ax: 0.0410614 | ay: -0.0832672 | az: -0.018219
ax: -0.0556946 | ay: -0.124588 | az: -0.123108
ax: -0.0818787 | ay: -0.112381 | az: -0.0259399
ax: -0.100418 | ay: -0.0178528 | az: 0.0380707
ax: -0.00038147 | ay: 0.0463104 | az: -0.0418549
ax: -0.0269012 | ay: 0.029007 | az: -0.047821
ax: -0.0318756 | ay: -0.0240479 | az: -0.0534515
ax: -0.015152 | ay: -0.0192871 | az: 0.00666809
ax: -0.0042572 | ay: -0.0268402 | az: 0.0589447
ax: 0.00933838 | ay: -0.0230713 | az: 0.0355835
ax: 0.0151367 | ay: 0.013443 | az: 0.00587463
ax: 0.0141296 | ay: 0.0228271 | az: 0.018158
ax: 0.00535583 | ay: 0.0540924 | az: 0.000473022
ax: 0.00402832 | ay: 0.049057 | az: -0.0217438
ax: -0.0171814 | ay: -0.0224762 | az: 0.00466919
ax: -0.0325775 | ay: -0.0127563 | az: 0.0141907
ax: -0.0413055 | ay: -0.00512695 | az: 0.0112762
ax: -0.0531311 | ay: -0.0173645 | az: 0.00479126
ax: -0.0538635 | ay: -0.0309296 | az: 0.00100708
ax: -0.0483093 | ay: -0.0174561 | az: 0.023468
ax: -0.0535889 | ay: 0.0197906 | az: 0.0185242
ax: -0.0815735 | ay: 0.0305176 | az: 0.0140076
ax: -0.0908356 | ay: 0.052002 | az: 0.0136108
ax: -0.134659 | ay: 0.0585175 | az: 0.0303192
ax: -0.170715 | ay: 0.0177612 | az: 0.065979
ax: -0.207397 | ay: 0.12027 | az: 0.12735
ax: -0.213272 | ay: 0.134583 | az: 0.0912628
ax: -0.236496 | ay: 0.131805 | az: 0.00476074
ax: -0.411377 | ay: 0.239166 | az: -0.0198059
ax: -0.615021 | ay: 0.24086 | az: -0.078476
ax: -1.00798 | ay: 0.287933 | az: 0.0651855
ax: -1.09778 | ay: 0.814102 | az: -0.0778046
ax: -0.642883 | ay: 1.45699 | az: 0.31955
ax: -0.552673 | ay: 0.817612 | az: 0.26503
ax: -0.492416 | ay: 0.573441 | az: -0.105789
time: 8
[20201124141634.023]
> sum ax: -12.0603 | sum ay: -5.69099 | sum az: -2.41618
>> avg ax: -0.241205 | avg ay: -0.11382 | avg az: -0.0483237
>>> vx: -2.36381 | vy: -1.11544 | vz: -0.473572
>>> sx: -1.18241 | sy: -1.85249 | sz: -0.557442
>>> a: 0.271054
>>> v: 2.65633
>>> s: 2.26728

ax: -0.1651 | ay: 0.366898 | az: -0.315262
ax: 0.158112 | ay: 0.387909 | az: -0.228439
ax: 0.200638 | ay: 0.259079 | az: -0.0191193
ax: 0.309341 | ay: 0.22171 | az: -0.0164337
ax: 0.406525 | ay: 0.552841 | az: 0.156693
ax: 0.528091 | ay: 0.798676 | az: 0.191879
ax: 0.5905 | ay: 0.738663 | az: 0.158493
ax: 0.534439 | ay: 0.578583 | az: 0.143539
ax: 0.496124 | ay: 0.43779 | az: 0.126709
ax: 0.467285 | ay: 0.323135 | az: 0.10907
ax: 0.403793 | ay: 0.384232 | az: 0.0705414
ax: 0.264618 | ay: 0.422028 | az: 0.0747833
ax: 0.00357056 | ay: 0.346664 | az: 0.0112152
ax: -0.288635 | ay: 0.0190887 | az: 0.0509491
ax: -0.616394 | ay: -0.220062 | az: -0.112335
ax: -0.890289 | ay: -0.372116 | az: -0.275635
ax: -1.04012 | ay: -0.784393 | az: -0.438797
ax: -1.06393 | ay: -0.900055 | az: -0.58287
ax: -0.944366 | ay: -1.11403 | az: -0.688202
ax: -0.655701 | ay: -1.25984 | az: -0.709579
ax: -0.458954 | ay: -1.57571 | az: -0.524261
ax: -0.360413 | ay: -1.83209 | az: -0.322098
ax: -0.198334 | ay: -1.35124 | az: -0.327087
ax: -0.208572 | ay: -1.04828 | az: -0.0708008
ax: -0.198959 | ay: -0.642654 | az: -0.0885468
ax: 0.0458679 | ay: 1.22504 | az: -0.00126648
ax: -0.0774689 | ay: 0.636246 | az: 0.825943
ax: -0.448776 | ay: -0.51181 | az: 0.195236
ax: -0.512253 | ay: -0.712051 | az: 0.126968
ax: -0.112534 | ay: -0.12767 | az: -0.320282
