steps: 0
ax: 0 | ay: 0 | az: -1
ax: -1.1373 | ay: -1.69679 | az: -0.153229
ax: -1.00644 | ay: -1.80557 | az: -0.224091
ax: -0.871887 | ay: -1.72092 | az: -0.291794
ax: -0.829834 | ay: -2.05119 | az: 0.0554962
ax: -0.622238 | ay: -2.11861 | az: 0.486237
ax: -0.553497 | ay: -2.18927 | az: 0.156479
ax: -0.453308 | ay: -1.49927 | az: 0.136475
ax: -0.174515 | ay: 0.964996 | az: -0.285858
ax: -0.377914 | ay: 0.733017 | az: 0.593231
ax: -0.614258 | ay: -0.679916 | az: 0.372375
ax: -0.583084 | ay: -0.382767 | az: 0.133057
time: 4
[20210812051041.491]
> sum ax: -11.4725 | sum ay: -5.99051 | sum az: -0.877121
>> avg ax: -0.229449 | avg ay: -0.11981 | avg az: -0.0175424
>>> vx: -1.1243 | vy: -0.58707 | vz: -0.0859579
>>> sx: -0.398504 | sy: 0.189361 | sz: -0.09194
>>> a: 0.25944
>>> v: 1.27126
>>> s: 0.450684

ax: -0.137436 | ay: -0.296249 | az: -0.102066
ax: -0.159348 | ay: -0.654831 | az: -0.52301
ax: -0.329346 | ay: -0.613922 | az: 0.0207672
ax: -0.0144958 | ay: -0.251999 | az: 0.0545807
ax: -0.0972595 | ay: -0.279602 | az: 0.00166321
ax: -0.127899 | ay: -0.0503693 | az: 0.000961304
ax: -0.022995 | ay: -0.100433 | az: -0.0971832
ax: -0.0148315 | ay: -0.154037 | az: -0.129654
ax: -0.0335083 | ay: -0.182632 | az: -0.0609436
ax: -0.019989 | ay: -0.104599 | az: 0.0572968
ax: -0.0548248 | ay: -0.121689 | az: 0.148041
ax: 0.00987244 | ay: -0.0764313 | az: 0.0678253
ax: 0.00471497 | ay: -0.0326996 | az: -0.0675049
ax: 0.0244293 | ay: -0.0354004 | az: -0.0534668
ax: 0.00177002 | ay: 0.00286865 | az: -0.0336151
ax: -0.0232697 | ay: -0.0127716 | az: 0.0426331
ax: -0.0238342 | ay: -0.0324707 | az: 0.040451
ax: -0.0363007 | ay: -0.0519714 | az: 0.0760345
ax: -0.0555573 | ay: -0.053421 | az: 0.0130615
ax: -0.0781097 | ay: -0.0709076 | az: -0.00541687
ax: -0.0619354 | ay: -0.0356598 | az: -0.0179749
ax: -0.0827026 | ay: -0.000778198 | az: 0.036438
ax: -0.169464 | ay: -0.0131683 | az: 0.0990143
ax: -0.203735 | ay: -0.00897217 | az: 0.0819092
ax: -0.256699 | ay: 0.0136261 | az: 0.0020752
ax: -0.24147 | ay: 0.136719 | az: -0.0830536
ax: -0.234848 | ay: -0.00708008 | az: -0.0926971
ax: -0.406052 | ay: 0.0236664 | az: -0.0805359
ax: -0.58815 | ay: 0.16571 | az: -0.143478
ax: -0.887238 | ay: 0.466354 | az: -0.240707
ax: -1.0878 | ay: 1.24573 | az: -0.0980377
ax: -1.10217 | ay: 1.13515 | az: 0.399124
ax: -0.944839 | ay: 0.646622 | az: -0.0971985
ax: -0.728439 | ay: 0.796341 | az: -0.368683
ax: 0.0310211 | ay: 0.523926 | az: -0.690903
ax: 0.301834 | ay: 0.0429382 | az: 0.206131
