ax: -0.758347 | ay: -1.06938 | az: 0.0208282
ax: -0.691345 | ay: -2.45859 | az: 0.163589
ax: -0.275574 | ay: -1.08403 | az: 0.456711
ax: -0.41185 | ay: -0.970871 | az: 0.0473785
ax: -0.223938 | ay: -1.0835 | az: 0.13562
ax: -0.187973 | ay: -0.417007 | az: 0.196411
ax: 0.0586548 | ay: 0.965057 | az: 0.257568
ax: -0.123917 | ay: 1.70332 | az: 0.548019
ax: -0.699814 | ay: -0.325348 | az: 0.789352
ax: -0.429199 | ay: -0.287659 | az: 0.538666
time: 4
[20210614162620.088]
> sum ax: -8.91888 | sum ay: 7.13071 | sum az: -0.932556
>> avg ax: -0.178378 | avg ay: 0.142614 | avg az: -0.0186511
>>> vx: -0.87405 | vy: 0.698809 | vz: -0.0913905
>>> sx: -0.297215 | sy: 0.665446 | sz: -0.247416
>>> a: 0.22914
>>> v: 1.12279
>>> s: 0.769656

ax: -0.500885 | ay: -0.333038 | az: 0.151398
ax: -0.283493 | ay: -0.355484 | az: -0.85672
ax: 0.178162 | ay: 0.0127258 | az: -0.173553
ax: 0.0476685 | ay: -0.51622 | az: -0.556091
ax: -0.068222 | ay: 0.179474 | az: 0.179184
ax: -0.139816 | ay: 0.197647 | az: 0.205414
ax: -0.0558624 | ay: 0.268448 | az: 0.256256
ax: 0.039566 | ay: 0.00100708 | az: -0.0102386
ax: 0.0941772 | ay: -0.0144348 | az: -0.105133
ax: 0.0460205 | ay: 0.189438 | az: -0.113831
ax: 0.0142212 | ay: 0.110123 | az: -0.116898
ax: -0.00935364 | ay: 0.0162811 | az: -0.091095
ax: -0.0401154 | ay: 0.110825 | az: -0.0119934
ax: -0.00732422 | ay: 0.107361 | az: 0.0182037
ax: 0.0120239 | ay: 0.0847778 | az: 0.0335693
ax: -0.039032 | ay: 0.132507 | az: 0.0347595
ax: 0.0108185 | ay: 0.182785 | az: 0.0646667
ax: -0.017334 | ay: 0.15033 | az: -0.000671387
ax: 0.0163574 | ay: 0.0657349 | az: -0.0712891
ax: -0.0385742 | ay: 0.0659637 | az: -0.162735
ax: -0.0720825 | ay: 0.00408936 | az: -0.166473
ax: -0.108521 | ay: 0.0695343 | az: -0.118103
ax: -0.16095 | ay: 0.156342 | az: -0.0678864
ax: -0.167084 | ay: 0.230057 | az: -0.0669861
ax: -0.164688 | ay: 0.242798 | az: -0.0380707
ax: -0.170746 | ay: 0.318909 | az: -0.0499725
ax: -0.301239 | ay: 0.370483 | az: -0.00643921
ax: -0.336487 | ay: 0.496399 | az: -0.0131531
ax: -0.557602 | ay: 0.53009 | az: 0.00430298
ax: -0.794601 | ay: 0.562134 | az: -0.143616
ax: -1.06474 | ay: 0.726288 | az: -0.305099
ax: -1.0844 | ay: 1.08379 | az: -0.446762
ax: -0.582001 | ay: 1.68875 | az: -0.889999
ax: -0.462479 | ay: 0.779449 | az: -0.690933
ax: -0.140884 | ay: 0.320923 | az: -0.700241
ax: 0.233719 | ay: -0.108154 | az: -0.523849
ax: 0.514923 | ay: 0.408279 | az: -0.273132
ax: 0.718079 | ay: 0.859131 | az: -0.0832672
ax: 0.844086 | ay: 1.01393 | az: -0.231949
ax: 0.659943 | ay: 0.937347 | az: -0.141464
ax: 0.627167 | ay: 0.785431 | az: -0.0980835
ax: 0.506516 | ay: 0.639648 | az: -0.0010376
ax: 0.37941 | ay: 0.553986 | az: 0.00186157
ax: 0.275757 | ay: 0.548599 | az: -0.00961304
ax: 0.142609 | ay: 0.492294 | az: -0.0603333
ax: -0.111633 | ay: 0.3284 | az: -0.0475159
ax: -0.363419 | ay: 0.425995 | az: 0.236908
ax: -0.708588 | ay: 0.000167847 | az: 0.156311
ax: -1.02425 | ay: -0.431808 | az: 0.130173
ax: -1.04865 | ay: -0.751785 | az: 0.196457
time: 5
[20210614162621.091]
> sum ax: -5.26382 | sum ay: 13.9377 | sum az: -5.77477
>> avg ax: -0.105276 | avg ay: 0.278755 | avg az: -0.115495
>>> vx: -0.515855 | vy: 1.3659 | vz: -0.565927
>>> sx: -0.231917 | sy: 0.458011 | sz: -0.291161
>>> a: 0.319573
>>> v: 1.56591
>>> s: 0.590199

ax: -0.954178 | ay: -1.02605 | az: 0.0650024
ax: -0.822235 | ay: -1.13152 | az: -0.0310059
ax: -0.72522 | ay: -1.47432 | az: 0.302032
ax: -0.661728 | ay: -2.28357 | az: 0.364487
ax: -0.364822 | ay: -1.62062 | az: 0.372833
ax: -0.432632 | ay: -1.20944 | az: 0.28653
ax: -0.295761 | ay: -0.733521 | az: 0.30809
ax: 0.0703735 | ay: 0.925491 | az: 0.42215
ax: -0.388184 | ay: 1.67754 | az: 0.721909
ax: -0.884766 | ay: -0.578003 | az: 0.65506
ax: -0.450897 | ay: -0.645081 | az: 0.217377
ax: -0.402771 | ay: -0.613174 | az: 0.0776978
ax: -0.326401 | ay: -0.30928 | az: -0.890945
ax: 0.0762177 | ay: -0.0306091 | az: -0.0148773
ax: 0.0518188 | ay: -0.269226 | az: -0.208374
ax: -0.0349274 | ay: 0.000854492 | az: 0.171143
ax: -0.164734 | ay: 0.170258 | az: 0.176178
ax: -0.00364685 | ay: 0.0480347 | az: -0.023056
ax: 0.00636292 | ay: 0.0535889 | az: -0.0861816
ax: 0.0275116 | ay: 0.015686 | az: -0.104599
ax: 0.00250244 | ay: 0.269058 | az: -0.00144958
ax: 0.0240326 | ay: 0.259109 | az: -0.00434875
ax: 0.0126343 | ay: 0.104889 | az: -0.0331421
ax: -0.0334015 | ay: 0.0831146 | az: -0.0776672
ax: -0.0243683 | ay: 0.0931549 | az: -0.0452881
ax: -0.0389862 | ay: 0.0419006 | az: 0.0336151
ax: -0.056015 | ay: 0.130173 | az: -0.019577
ax: -0.0394897 | ay: 0.0396576 | az: -0.0405273
ax: -0.0196838 | ay: 0.0452881 | az: -0.10939
ax: 0.0220795 | ay: 0.0623779 | az: -0.152466
ax: 0.000549316 | ay: 0.131027 | az: -0.0891418
ax: -0.0568085 | ay: 0.154907 | az: -0.0954132
