ax: 0 | ay: 0 | az: -1
ax: 0.00274658 | ay: -0.0523529 | az: -0.0229187
ax: -0.00564575 | ay: -0.0175781 | az: 0.0117035
ax: -0.0146484 | ay: -0.00306702 | az: 0.0124359
ax: -0.0369415 | ay: -0.0335236 | az: -0.00482178
ax: -0.0458374 | ay: -0.0743866 | az: -0.044754
ax: -0.0708466 | ay: -0.0597229 | az: -0.0240326
ax: -0.0549622 | ay: -0.0211945 | az: 0.00283813
ax: -0.0914459 | ay: 0.043869 | az: 0.0671997
ax: -0.165253 | ay: 0.0875092 | az: 0.0785522
ax: -0.219009 | ay: 0.00476074 | az: 0.066391
ax: -0.272156 | ay: 0.0637054 | az: 0.105881
ax: -0.289291 | ay: 0.0702209 | az: 0.105011
ax: -0.387802 | ay: 0.182144 | az: 0.041748
ax: -0.774139 | ay: 0.180374 | az: 0.0123901
ax: -1.07619 | ay: 0.60701 | az: 0.052063
ax: -0.978424 | ay: 1.79031 | az: 0.229416
ax: -1.09489 | ay: 0.472 | az: 0.401398
ax: -0.755096 | ay: 0.824371 | az: -0.157608
ax: -0.741013 | ay: 0.855087 | az: -0.304565
ax: -0.0326538 | ay: 0.878006 | az: 0.112427
ax: 0.436172 | ay: -0.0454865 | az: -0.247269
ax: 0.323349 | ay: -0.242233 | az: -0.267761
time: 5
[20210722062723.573]
> sum ax: -14.748 | sum ay: -8.27423 | sum az: -7.13528
>> avg ax: -0.29496 | avg ay: -0.165485 | avg az: -0.142706
>>> vx: -1.4453 | vy: -0.810875 | vz: -0.699258
>>> sx: -0.81607 | sy: -1.07729 | sz: -0.59901
>>> a: 0.367085
>>> v: 1.79872
>>> s: 1.47829

ax: 0.250839 | ay: 0.348328 | az: 0.423187
ax: 0.547363 | ay: 0.566483 | az: 0.443176
ax: 0.624893 | ay: 0.660248 | az: 0.328369
ax: 0.627869 | ay: 0.505844 | az: 0.193436
ax: 0.600952 | ay: 0.324463 | az: 0.150604
ax: 0.502213 | ay: 0.159531 | az: 0.101105
ax: 0.439133 | ay: 0.0671692 | az: 0.0387726
ax: 0.374771 | ay: 0.0578461 | az: -0.0101318
ax: 0.207443 | ay: 0.00227356 | az: -0.0709381
ax: -0.050415 | ay: -0.134933 | az: -0.14624
ax: -0.34697 | ay: -0.368896 | az: -0.225815
ax: -0.777832 | ay: -0.745117 | az: -0.458298
ax: -1.08742 | ay: -1.13181 | az: -0.743286
ax: -1.13133 | ay: -1.66943 | az: -0.956009
ax: -1.03162 | ay: -1.79054 | az: -1.21106
ax: -0.680832 | ay: -1.86641 | az: -1.3877
ax: -0.451157 | ay: -2.26567 | az: -1.10812
ax: -0.637238 | ay: -1.69197 | az: -0.890427
ax: -0.12149 | ay: -1.44398 | az: -0.892212
ax: -0.581497 | ay: 1.2778 | az: 1.19473
ax: -0.276718 | ay: -0.0122223 | az: 0.39473
ax: -0.619659 | ay: -0.960922 | az: -0.249161
ax: -0.237091 | ay: -0.305603 | az: -0.390259
ax: -0.239822 | ay: -0.576477 | az: -0.562393
ax: -0.230621 | ay: -0.419968 | az: -0.09198
ax: -0.141312 | ay: -0.487411 | az: -0.10408
ax: -0.116302 | ay: -0.140686 | az: -0.192108
ax: 0.0330811 | ay: -0.0639648 | az: -0.0669403
ax: -0.0761108 | ay: -0.0394592 | az: -0.0949097
ax: 0.0110168 | ay: -0.0879822 | az: -0.0497284
ax: 0.018219 | ay: -0.0331268 | az: -0.186081
ax: 0.016922 | ay: 0.0324097 | az: -0.0256653
ax: 0.00413513 | ay: -0.030365 | az: 0.0619049
ax: -0.0410004 | ay: -0.119339 | az: 0.0102234
ax: 0.0174866 | ay: -0.0181122 | az: -0.0516052
ax: -0.0104065 | ay: -0.05896 | az: -0.0708313
ax: -0.00544739 | ay: -0.0404053 | az: -0.0259857
ax: -0.00320435 | ay: -0.0144653 | az: -0.0104675
ax: 0.00602722 | ay: 0.000564575 | az: 0.0071106
ax: -0.00447083 | ay: 0.00842285 | az: -0.0218811
ax: -0.0282135 | ay: -0.0306549 | az: -0.0358429
ax: -0.0362854 | ay: -0.0471649 | az: -0.035202
ax: -0.0360413 | ay: -0.0196991 | az: -0.00947571
ax: -0.136215 | ay: -0.000793457 | az: 0.0396881
ax: -0.180115 | ay: 0.0254517 | az: 0.0374603
ax: -0.164017 | ay: 0.0338745 | az: 0.0368805
ax: -0.224304 | ay: 0.0648804 | az: 0.0947113
ax: -0.278381 | ay: 0.0584412 | az: 0.0997162
ax: -0.36908 | ay: 0.162354 | az: 0.0396881
ax: -0.631439 | ay: 0.11412 | az: 0.01297
time: 6
[20210722062724.578]
> sum ax: -6.70169 | sum ay: -12.146 | sum az: -6.66637
>> avg ax: -0.134034 | avg ay: -0.242921 | avg az: -0.133327
>>> vx: -0.656766 | vy: -1.19031 | vz: -0.653304
>>> sx: -0.224617 | sy: -0.749233 | sz: -0.412177
>>> a: 0.307818
>>> v: 1.50831
>>> s: 0.884134

ax: -1.07848 | ay: -0.109604 | az: 0.126999
ax: -1.08984 | ay: 1.36319 | az: 0.491119
ax: -0.924789 | ay: 1.40488 | az: 0.45314
ax: -0.826996 | ay: 0.633148 | az: 0.0983429
ax: -0.828079 | ay: 0.842255 | az: -0.367386
ax: -0.331253 | ay: 0.723495 | az: -0.152725
ax: 0.719788 | ay: 0.49791 | az: 0.00114441
