ax: 0 | ay: 0 | az: -1
>>> vx: 3.05163 | vy: 1.02818 | vz: 0.487595
>>> sx: 1.59589 | sy: -0.334658 | sz: -0.702314
>>> a: 0.332336
>>> v: 3.25689
>>> s: 1.77541

ax: 0.00100708 | ay: 0.0536194 | az: -0.076767
ax: 0.145599 | ay: -0.0117188 | az: -0.0194092
ax: 0.269394 | ay: 0.0211639 | az: 0.0664673
ax: 0.284393 | ay: -0.12645 | az: 0.0135193
ax: 0.37886 | ay: -0.199585 | az: -0.152588
ax: 0.485886 | ay: -0.149902 | az: -0.185593
ax: 0.637527 | ay: -0.308823 | az: -0.0954285
ax: 0.731323 | ay: -0.340942 | az: -0.296631
ax: 1.02159 | ay: -0.22258 | az: -0.679321
ax: 1.03331 | ay: -0.529282 | az: -1.41954
ax: 1.04709 | ay: -1.35269 | az: -1.59853
ax: 1.06856 | ay: -0.571518 | az: -1.30038
ax: 0.709518 | ay: -0.629547 | az: -1.5118
ax: -0.477768 | ay: -0.521713 | az: -1.18501
ax: -2.89407 | ay: 1.68506 | az: 0.68071
ax: 0.430801 | ay: -1.06841 | az: -0.814407
ax: -0.871201 | ay: -0.288849 | az: -0.96051
ax: -0.824554 | ay: -0.50441 | az: -0.589127
ax: -0.91774 | ay: -0.410278 | az: -0.452026
ax: -0.711151 | ay: -0.0746765 | az: -0.366394
ax: -0.680298 | ay: -0.00128174 | az: -0.292465
ax: -0.532364 | ay: 0.0297089 | az: -0.287354
ax: -0.336914 | ay: 0.0239868 | az: -0.16713
ax: -0.0800934 | ay: 0.0776367 | az: -0.0605316
ax: 0.334625 | ay: 0.0996399 | az: 0.0286713
ax: 1.06075 | ay: 0.315125 | az: 0.31221
ax: 1.28589 | ay: 0.708023 | az: 0.856445
ax: 1.38148 | ay: 1.44818 | az: 1.1926
ax: 1.45496 | ay: 1.8757 | az: 2.03659
ax: 1.48895 | ay: 2.40637 | az: 2.43419
ax: 1.4077 | ay: 2.40031 | az: 2.7538
ax: 1.2074 | ay: 2.0228 | az: 2.41557
ax: 0.916931 | ay: -0.223679 | az: 0.625793
ax: 0.55571 | ay: -1.67015 | az: -1.36031
ax: 1.11557 | ay: 0.222504 | az: 0.584167
ax: 1.2084 | ay: 2.26894 | az: 0.893387
ax: 1.10518 | ay: -0.148621 | az: 1.0195
ax: -0.172729 | ay: 0.855026 | az: 0.312546
ax: 0.0694427 | ay: 0.807602 | az: 0.0588226
ax: -0.146515 | ay: 0.019989 | az: 0.312576
ax: 0.138687 | ay: 0.166855 | az: 0.173004
ax: 0.0436859 | ay: 0.127167 | az: 0.206665
ax: 0.0206909 | ay: 0.263824 | az: -0.0344086
ax: -0.00892639 | ay: 0.339096 | az: -0.12561
ax: -0.0042572 | ay: 0.245697 | az: -0.0126343
ax: 0.04039 | ay: 0.0163879 | az: 0.0738068
ax: 0.0810394 | ay: 0.0110168 | az: 0.10881
ax: 0.108261 | ay: 0.0281525 | az: -0.00799561
ax: 0.0117035 | ay: 0.142441 | az: -0.024704
ax: 0.129944 | ay: -0.0673981 | az: 0.0679016
time: 7
[20210209181916.416]
> sum ax: 14.7537 | sum ay: 9.25952 | sum az: 3.15115
>> avg ax: 0.295073 | avg ay: 0.18519 | avg az: 0.0630231
>>> vx: 2.89172 | vy: 1.81487 | vz: 0.617626
>>> sx: 1.39181 | sy: 0.23367 | sz: -0.593319
>>> a: 0.354028
>>> v: 3.46947
>>> s: 1.53094

ax: 0.225906 | ay: -0.0317535 | az: 0.0846863
ax: 0.256042 | ay: -0.224136 | az: 0.0393829
ax: 0.350723 | ay: -0.141739 | az: -0.10466
ax: 0.519196 | ay: -0.145432 | az: -0.193146
ax: 0.614166 | ay: -0.210526 | az: -0.149796
ax: 0.721237 | ay: -0.356049 | az: -0.268814
ax: 1.01945 | ay: -0.25769 | az: -0.582748
ax: 1.02994 | ay: -0.673431 | az: -1.36621
ax: 1.04204 | ay: -1.17133 | az: -1.53618
ax: 1.06146 | ay: -0.581085 | az: -1.28137
ax: 0.606125 | ay: -0.43689 | az: -1.41965
ax: -0.434753 | ay: -0.242691 | az: -0.799728
ax: -2.89799 | ay: 1.67947 | az: 0.887756
ax: 0.493011 | ay: -0.780228 | az: -0.837936
ax: -1.03227 | ay: -0.0771027 | az: -0.878616
ax: -0.9384 | ay: -0.163345 | az: -0.577484
ax: -0.988632 | ay: -0.296646 | az: -0.435562
ax: -0.827438 | ay: -0.125916 | az: -0.369049
ax: -0.746155 | ay: -0.221313 | az: -0.189743
ax: -0.598404 | ay: -0.202957 | az: -0.116333
ax: -0.440399 | ay: -0.131653 | az: -0.0921173
ax: -0.237839 | ay: -0.0496368 | az: -0.0734406
ax: 0.149689 | ay: -0.0123901 | az: -0.016098
ax: 0.859924 | ay: 0.216522 | az: 0.34494
ax: 1.24333 | ay: 0.359543 | az: 0.829666
ax: 1.33124 | ay: 0.843674 | az: 1.33434
ax: 1.40787 | ay: 1.38287 | az: 1.8671
ax: 1.45053 | ay: 2.25005 | az: 1.96461
ax: 1.46193 | ay: 2.40042 | az: 2.16896
ax: 0.874908 | ay: 2.05092 | az: 2.54207
ax: 0.878906 | ay: -0.331009 | az: 0.687668
ax: 0.909119 | ay: -0.366455 | az: -1.27449
ax: 1.25665 | ay: 0.562561 | az: 2.18628
ax: 0.429413 | ay: 0.427002 | az: 0.1409
ax: -0.571579 | ay: 0.634567 | az: 1.11035
ax: 0.210907 | ay: 0.906708 | az: 0.328262
ax: 0.323212 | ay: 0.165237 | az: 0.37674
